21 November 2007 12:00:13 PM

MD
  C++ version

  A molecular dynamics program, which has been
  modified to include OpenMP directives.
  The OpenMP directives allow the program to be
  run in parallel.


  The number of processors available:
  OMP_GET_NUM_PROCS () =    1

  The number of threads available:
  OMP_GET_NUM_THREADS () =  1

  This is processor 0

  Initialize positions, velocities, and accelerations.

  Compute initial forces and energies.

  Initial Total energy = 124406

      Step      Pot Energy      Kin Energy     (P+K-E0)/E0

       354          124405         1.04317    -7.04705e-11
       355          124405         1.04911      -7.122e-11
       356          124405         1.05506    -7.19634e-11
       357          124405         1.06104    -7.27216e-11
       358          124405         1.06703    -7.34756e-11
       359          124405         1.07303    -7.42407e-11
       360          124405         1.07905    -7.50029e-11
       361          124405         1.08509    -7.57746e-11
       362          124405         1.09115    -7.65488e-11
       363          124405         1.09722    -7.73285e-11
       364          124405         1.10331    -7.81113e-11
       365          124405         1.10942    -7.88967e-11
       366          124405         1.11555    -7.96891e-11
       367          124405         1.12169    -8.04878e-11
       368          124405         1.12785    -8.12855e-11
       369          124405         1.13402    -8.20938e-11
       370          124405         1.14021     -8.2905e-11
       371          124405         1.14642    -8.37182e-11
       372          124405         1.15265     -8.4535e-11
       373          124405         1.15889    -8.53542e-11
       374          124405         1.16515    -8.61832e-11
       375          124405         1.17143    -8.70154e-11
       376          124405         1.17772    -8.78487e-11
       377          124405         1.18404    -8.86881e-11
       378          124405         1.19036    -8.95389e-11
       379          124405         1.19671    -9.03806e-11
       380          124405         1.20307     -9.1243e-11
       381          124405         1.20945    -9.20957e-11
       382          124405         1.21585    -9.29633e-11
       383          124405         1.22226    -9.38293e-11
       384          124405         1.22869    -9.46962e-11
       385          124405         1.23514    -9.55726e-11
       386          124405          1.2416    -9.64557e-11
       387          124405         1.24808    -9.73383e-11
       388          124405         1.25458    -9.82297e-11
       389          124405         1.26109    -9.91225e-11
       390          124405         1.26762    -1.00027e-10
       391          124405         1.27417    -1.00929e-10
       392          124405         1.28074    -1.01838e-10
       393          124405         1.28732    -1.02752e-10
       394          124405         1.29392    -1.03672e-10
       395          124405         1.30054    -1.04591e-10
       396          124405         1.30717    -1.05518e-10
       397          124405         1.31382    -1.06449e-10
       398          124405         1.32049    -1.07382e-10
       399          124405         1.32718    -1.08329e-10
       400          124405         1.33388    -1.09274e-10
       401          124405          1.3406    -1.10226e-10
       402          124405         1.34733     -1.1118e-10
       403          124405         1.35408    -1.12142e-10
       404          124405         1.36085    -1.13102e-10
       405          124405         1.36764    -1.14075e-10
       406          124405         1.37444    -1.15052e-10
       407          124405         1.38126    -1.16029e-10
       408          124405          1.3881    -1.17008e-10
       409          124405         1.39496    -1.18001e-10
       410          124405         1.40183    -1.18995e-10
       411          124405         1.40872    -1.19993e-10
       412          124405         1.41562       -1.21e-10
       413          124405         1.42255    -1.22007e-10
       414          124405         1.42949     -1.2302e-10
       415          124405         1.43644     -1.2404e-10
       416          124405         1.44342    -1.25061e-10
       417          124405         1.45041    -1.26091e-10
       418          124405         1.45741    -1.27125e-10
       419          124405         1.46444    -1.28162e-10
       420          124405         1.47148    -1.29207e-10
       421          124405         1.47854    -1.30254e-10
       422          124405         1.48562    -1.31308e-10
       423          124405         1.49271    -1.32363e-10
       424          124405         1.49982    -1.33427e-10
       425          124405         1.50695    -1.34494e-10
       426          124405         1.51409    -1.35565e-10
       427          124405         1.52125    -1.36643e-10
       428          124405         1.52843    -1.37731e-10
       429          124405         1.53562    -1.38817e-10
       430          124405         1.54284    -1.39908e-10
       431          124405         1.55006    -1.41011e-10
       432          124405         1.55731    -1.42112e-10
       433          124405         1.56457    -1.43222e-10
       434          124405         1.57185    -1.44332e-10
       435          124405         1.57915    -1.45452e-10
       436          124405         1.58647    -1.46579e-10
       437          124405          1.5938    -1.47706e-10
       438          124405         1.60115    -1.48839e-10
       439          124405         1.60851    -1.49975e-10
       440          124405         1.61589    -1.51123e-10
       441          124405         1.62329     -1.5227e-10
       442          124405         1.63071     -1.5343e-10
       443          124405         1.63814    -1.54586e-10
       444          124405         1.64559    -1.55753e-10
       445          124405         1.65306    -1.56924e-10
       446          124405         1.66055    -1.58102e-10
       447          124405         1.66805    -1.59283e-10
       448          124405         1.67557    -1.60466e-10
       449          124405          1.6831    -1.61658e-10
       450          124405         1.69066    -1.62858e-10
       451          124405         1.69823    -1.64057e-10
       452          124405         1.70581    -1.65268e-10
       453          124405         1.71342    -1.66475e-10
       454          124405         1.72104    -1.67699e-10
       455          124405         1.72868    -1.68923e-10
       456          124405         1.73633     -1.7015e-10
       457          124405         1.74401    -1.71386e-10
       458          124405         1.75169    -1.72627e-10
       459          124405          1.7594    -1.73875e-10
       460          124405         1.76712    -1.75123e-10
       461          124405         1.77487     -1.7638e-10
       462          124405         1.78262    -1.77645e-10
       463          124405          1.7904    -1.78908e-10
       464          124405         1.79819    -1.80179e-10
       465          124405           1.806    -1.81457e-10
       466          124405         1.81383    -1.82743e-10
       467          124405         1.82167    -1.84034e-10
       468          124405         1.82953    -1.85329e-10
       469          124405         1.83741    -1.86629e-10
       470          124405          1.8453    -1.87931e-10
       471          124405         1.85321    -1.89245e-10
       472          124405         1.86114    -1.90562e-10
       473          124405         1.86909    -1.91882e-10
       474          124405         1.87705    -1.93211e-10
       475          124405         1.88503    -1.94544e-10
       476          124405         1.89303    -1.95885e-10
       477          124405         1.90104    -1.97231e-10
       478          124405         1.90907    -1.98579e-10
       479          124405         1.91712    -1.99936e-10
       480          124405         1.92518    -2.01298e-10
       481          124405         1.93327    -2.02667e-10
       482          124405         1.94137    -2.04041e-10
       483          124405         1.94948    -2.05423e-10
       484          124405         1.95762    -2.06806e-10
